Version Number,File Name,NumberRevisions,NumberAuthors,LOC,AGE,CHURN,LOC_TOUCHED,Avg_LOC_Added,MaxLocAdded,Avg_Chg_Set,Max_Chg_Set,numImports,numComments,Buggy
01,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,48,2,136,33,1428,3216,37,137,143,282,505,2548,No
01,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,62,2,247,33,3276,4274,52,252,111,282,893,4514,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,167,3,758,34,11104,15456,67,545,38,172,4425,35134,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,36,3,84,32,1255,1574,34,81,107,172,36,1465,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,53,2,171,33,2496,2692,47,168,68,172,159,2501,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,109,3,488,34,6952,8607,64,487,52,172,2406,16460,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,61,3,158,33,2755,2837,45,124,81,172,364,3556,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,84,3,540,34,7486,8487,89,536,67,172,1304,9208,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,58,3,141,33,2027,2247,34,133,94,172,196,3007,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,35,3,152,33,2174,2245,62,151,114,172,70,1095,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,14,1,147,0,2058,2058,147,147,119,119,98,1232,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,66,3,135,34,1779,3613,29,126,62,172,66,7134,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,49,3,256,32,3748,3849,76,249,81,172,49,4747,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,111,3,492,34,6535,14812,73,410,58,172,1888,37661,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,70,2,758,4,11283,13681,171,714,38,98,1931,29549,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,53,2,204,33,2856,2952,53,204,91,172,1072,4558,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,25,2,50,22,700,733,28,50,142,172,50,700,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,65,3,184,33,2576,2842,39,184,78,172,532,5460,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,40,3,61,30,854,913,21,61,96,172,0,2200,No
01,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,99,3,166,34,2303,2878,23,167,61,172,1483,8901,No
