
Dataset,# Training,TrainingSet Size,TestSet Size,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa,Accuracy
bookkeeper,1,150,150,0.5,0.0,0.0,RF,No sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,IBk,No sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,NB,No sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,RF,Under sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,IBk,Under sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,NB,Under sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,RF,Over sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,IBk,Over sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,NB,Over sampling,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,RF,Smote,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,IBk,Smote,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,1,150,150,0.5,0.0,0.0,NB,Smote,False,NaN,0.0,1.0,NaN,NaN,NaN,NaN,1.0,1.0
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,RF,No sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,IBk,No sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,NB,No sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.40658638934501,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,RF,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,IBk,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,NB,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.40658638934501,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,RF,Over sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,IBk,Over sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5295566502463054,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,NB,Over sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.3751140302864441,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,RF,Smote,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,IBk,Smote,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.42000000000000004
bookkeeper,2,300,150,0.6666666666666666,0.0,0.58,NB,Smote,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.42000000000000004
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,RF,No sampling,False,0.7162162162162162,0.5789473684210527,0.42105263157894735,0.28378378378378377,0.5463917525773195,0.7162162162162162,0.6410028449502134,0.13670975739330615,0.5666666666666667
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,IBk,No sampling,False,0.7297297297297297,0.47368421052631576,0.5263157894736842,0.2702702702702703,0.6,0.7297297297297297,0.628022759601707,0.2553191489361703,0.6266666666666667
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,NB,No sampling,False,0.9459459459459459,0.881578947368421,0.11842105263157894,0.05405405405405406,0.5109489051094891,0.9459459459459459,0.5670341394025604,0.06365394759978893,0.5266666666666666
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,RF,Under sampling,False,0.9459459459459459,0.7763157894736842,0.2236842105263158,0.05405405405405406,0.5426356589147286,0.9459459459459459,0.7248399715504978,0.1679873217115689,0.5800000000000001
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,IBk,Under sampling,False,0.9594594594594594,0.75,0.25,0.04054054054054054,0.5546875,0.9594594594594594,0.6047297297297297,0.2074674181049665,0.6
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,NB,Under sampling,False,0.9594594594594594,0.9473684210526315,0.05263157894736842,0.04054054054054054,0.4965034965034965,0.9594594594594594,0.5812588904694168,0.011944493237309011,0.5
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,RF,Over sampling,False,0.7027027027027027,0.6447368421052632,0.35526315789473684,0.2972972972972973,0.5148514851485149,0.7027027027027027,0.6426920341394026,0.057688904618651435,0.5266666666666666
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,IBk,Over sampling,False,0.8108108108108109,0.5,0.5,0.1891891891891892,0.6122448979591837,0.8108108108108109,0.6740753911806543,0.30949008498583563,0.6533333333333333
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,NB,Over sampling,False,0.9594594594594594,0.9605263157894737,0.039473684210526314,0.04054054054054054,0.4930555555555556,0.9594594594594594,0.5576102418207681,-0.0010537407797681707,0.4933333333333333
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,RF,Smote,False,0.7162162162162162,0.5921052631578947,0.40789473684210525,0.28378378378378377,0.5408163265306123,0.7162162162162162,0.6928342816500711,0.12358356940509926,0.56
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,IBk,Smote,False,0.7837837837837838,0.5526315789473685,0.4473684210526316,0.21621621621621623,0.58,0.7837837837837838,0.6155761024182077,0.23008849557522118,0.6133333333333333
bookkeeper,3,450,150,0.75,0.19111111111111112,0.49333333333333335,NB,Smote,False,0.9459459459459459,0.8947368421052632,0.10526315789473684,0.05405405405405406,0.5072463768115942,0.9459459459459459,0.5873044096728307,0.05063291139240508,0.52
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,RF,No sampling,False,0.3764705882352941,0.2,0.8,0.6235294117647059,0.7111111111111111,0.3764705882352941,0.6721266968325792,0.16455696202531658,0.56
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,IBk,No sampling,False,0.6941176470588235,0.24615384615384617,0.7538461538461538,0.3058823529411765,0.7866666666666666,0.6941176470588235,0.7263348416289592,0.43999999999999995,0.72
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,NB,No sampling,False,0.4235294117647059,0.9538461538461539,0.046153846153846156,0.5764705882352941,0.3673469387755102,0.4235294117647059,0.2626244343891403,-0.5430954587581095,0.26
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,RF,Under sampling,False,0.5882352941176471,0.4461538461538462,0.5538461538461539,0.4117647058823529,0.6329113924050633,0.5882352941176471,0.6047058823529412,0.1405550581915847,0.5733333333333333
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,IBk,Under sampling,False,0.788235294117647,0.6615384615384615,0.3384615384615385,0.21176470588235294,0.6090909090909091,0.788235294117647,0.5613574660633485,0.13270142180094802,0.5933333333333333
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,NB,Under sampling,False,0.4470588235294118,0.8,0.2,0.5529411764705883,0.4222222222222222,0.4470588235294118,0.3234389140271493,-0.3561643835616437,0.33999999999999997
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,RF,Over sampling,False,0.49411764705882355,0.36923076923076925,0.6307692307692307,0.5058823529411764,0.6363636363636364,0.49411764705882355,0.6101357466063349,0.12073490813648297,0.5533333333333333
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,IBk,Over sampling,False,0.8,0.4307692307692308,0.5692307692307692,0.2,0.7083333333333334,0.8,0.7348416289592761,0.376731301939058,0.7
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,NB,Over sampling,False,0.4235294117647059,0.7384615384615385,0.26153846153846155,0.5764705882352941,0.42857142857142855,0.4235294117647059,0.29502262443438915,-0.31436314363143636,0.3533333333333334
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,RF,Smote,False,0.4470588235294118,0.23076923076923078,0.7692307692307693,0.5529411764705883,0.7169811320754716,0.4470588235294118,0.6347511312217194,0.20444824636441403,0.5866666666666667
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,IBk,Smote,False,0.7058823529411765,0.27692307692307694,0.7230769230769231,0.29411764705882354,0.7692307692307693,0.7058823529411765,0.7167420814479638,0.4235924932975872,0.7133333333333334
bookkeeper,4,600,150,0.8,0.2683333333333333,0.5666666666666667,NB,Smote,False,0.4235294117647059,0.9538461538461539,0.046153846153846156,0.5764705882352941,0.3673469387755102,0.4235294117647059,0.2568325791855204,-0.5430954587581095,0.26
