@relation bookkeeper

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
4,2,136,33,105,267,34,137,140,282,42,212,No
5,2,247,33,252,340,50,252,113,282,72,364,No
14,3,773,34,866,1262,63,545,38,172,374,3039,No
3,3,84,32,92,121,30,81,106,172,3,122,No
4,2,172,33,179,195,44,168,74,172,12,189,No
9,3,489,34,500,640,56,487,53,172,199,1360,No
5,3,157,33,203,210,40,124,81,172,30,290,No
7,3,541,34,535,627,77,536,68,172,109,769,No
5,3,142,33,148,168,29,133,92,172,17,260,No
3,3,153,33,157,164,52,151,111,172,6,94,No
1,1,147,0,147,147,147,147,119,119,7,88,No
5,3,135,34,127,281,27,126,66,172,5,541,No
4,3,257,32,271,280,67,249,81,172,4,388,No
9,3,496,34,458,1169,65,410,59,172,155,3078,No
6,2,762,4,781,990,140,714,38,98,166,2542,No
4,2,204,33,204,212,51,204,99,172,81,344,No
2,2,50,22,50,53,25,50,145,172,4,56,No
5,3,184,33,184,207,36,184,83,172,41,420,No
3,3,61,30,61,66,20,61,103,172,0,165,No
8,3,166,34,164,214,21,167,63,172,120,719,No
4,3,80,34,79,93,20,80,106,172,17,225,No
3,2,83,33,82,134,27,83,129,172,13,132,No
12,3,697,34,620,1547,58,547,46,172,288,4112,No
7,3,230,34,235,288,33,198,62,172,63,750,No
9,3,156,34,148,234,16,140,57,172,97,602,No
6,3,185,33,188,224,31,178,72,172,69,524,No
4,3,67,30,67,76,16,67,79,172,20,136,No
4,3,151,33,155,182,38,138,104,172,23,265,No
4,3,171,33,171,193,42,170,104,172,59,262,No
6,2,101,15,97,133,17,101,51,172,56,247,No
1,1,78,0,78,78,78,78,28,28,4,50,No
2,2,87,22,87,88,43,87,145,172,2,96,No
2,2,85,22,85,86,42,85,145,172,2,76,No
2,1,83,1,101,106,50,61,40,44,13,115,No
4,2,216,1,216,224,54,216,13,44,4,628,No
4,2,377,1,377,397,94,377,13,44,8,940,No
2,1,252,0,251,255,125,251,20,36,27,251,No
1,1,193,0,193,193,193,193,36,36,17,98,No
1,1,514,0,514,514,514,514,36,36,22,245,No
1,1,204,0,204,204,204,204,36,36,11,105,No
1,1,144,0,144,144,144,144,36,36,4,125,No
1,1,98,0,98,98,98,98,36,36,4,55,No
7,3,178,33,179,205,25,178,66,172,108,422,No
4,3,111,32,151,162,37,75,81,172,0,319,No
11,3,296,34,371,506,35,209,47,172,137,950,No
3,3,82,34,132,139,44,75,109,172,11,160,No
8,3,525,33,530,557,66,521,59,172,131,1357,No
9,3,584,33,588,692,66,573,53,172,313,2240,No
1,1,148,0,148,148,148,148,119,119,0,43,No
3,2,173,33,173,184,57,173,129,172,25,219,No
3,2,147,33,147,158,49,147,129,172,19,210,No
6,3,540,33,90,1511,127,763,70,172,129,1809,No
6,3,217,34,229,442,38,209,80,172,140,382,No
3,3,54,34,54,59,18,54,109,172,9,96,No
2,2,38,22,38,43,19,38,145,172,0,56,No
2,2,98,22,98,102,49,98,145,172,8,112,No
3,2,38,33,38,49,12,38,129,172,4,75,No
3,3,85,34,69,123,31,94,109,172,6,154,No
1,1,94,0,94,94,94,94,36,36,8,64,No
3,1,255,1,246,291,82,246,17,44,31,337,No
1,1,90,0,90,90,90,90,3,3,13,37,No
4,2,65,14,70,74,17,61,42,98,63,152,No
5,2,613,1,610,647,123,607,42,98,183,1411,No
4,2,135,4,134,144,33,132,49,98,73,214,No
3,1,344,1,344,348,114,343,25,44,42,429,No
1,1,47,0,47,47,47,47,36,36,4,32,No
1,1,47,0,47,47,47,47,36,36,4,32,No
1,1,47,0,47,47,47,47,36,36,4,32,No
1,1,46,0,46,46,46,46,36,36,3,32,No
1,1,47,0,47,47,47,47,36,36,4,32,No
1,1,136,0,136,136,136,136,36,36,13,56,No
1,1,261,0,261,261,261,261,36,36,18,91,No
2,1,113,2,113,114,56,113,18,28,36,94,No
4,3,256,33,256,279,64,256,99,172,83,368,No
12,3,199,34,243,322,20,176,46,172,302,856,No
6,3,234,33,237,275,39,232,78,172,115,273,No
6,3,303,33,304,341,51,305,76,172,129,699,No
3,2,219,2,230,247,76,222,18,44,45,271,No
10,3,974,33,1043,1238,108,720,48,172,290,2904,No
5,3,411,30,400,520,87,400,64,172,108,1096,No
3,3,90,12,91,99,30,90,72,172,31,102,No
3,2,74,33,74,83,24,74,129,172,13,132,No
6,3,183,34,183,203,30,178,80,172,88,275,No
3,2,117,4,117,122,39,116,50,98,66,189,No
1,1,55,0,55,55,55,55,44,44,3,33,No
4,1,131,13,131,153,32,131,49,172,68,219,No
4,3,161,33,163,177,40,163,108,172,30,352,No
4,3,100,33,113,133,28,88,98,172,19,229,No
5,3,118,33,119,131,23,117,92,172,66,230,No
3,3,61,33,61,68,20,60,111,172,22,87,No
1,1,545,0,545,545,545,545,282,282,23,110,No
1,1,81,0,81,81,81,81,282,282,1,41,No
1,1,168,0,168,168,168,168,282,282,3,45,No
1,1,487,0,487,487,487,487,282,282,22,150,No
1,1,124,0,124,124,124,124,282,282,5,42,No
1,1,536,0,536,536,536,536,282,282,15,107,No
1,1,133,0,133,133,133,133,282,282,3,49,No
1,1,151,0,151,151,151,151,282,282,2,31,No
1,1,147,0,147,147,147,147,282,282,7,88,No
1,1,126,0,126,126,126,126,282,282,1,101,No
1,1,249,0,249,249,249,249,282,282,1,95,No
1,1,410,0,410,410,410,410,282,282,15,277,No
1,1,204,0,204,204,204,204,282,282,20,86,No
1,1,50,0,50,50,50,50,282,282,2,28,No
1,1,184,0,184,184,184,184,282,282,8,84,No
1,1,61,0,61,61,61,61,282,282,0,55,No
1,1,167,0,167,167,167,167,282,282,15,91,No
1,1,80,0,80,80,80,80,282,282,4,56,No
1,1,83,0,83,83,83,83,282,282,4,44,No
1,1,547,0,547,547,547,547,282,282,22,279,No
1,1,198,0,198,198,198,198,282,282,8,94,No
1,1,140,0,140,140,140,140,282,282,10,62,No
1,1,178,0,178,178,178,178,282,282,10,85,No
1,1,67,0,67,67,67,67,282,282,5,34,No
1,1,138,0,138,138,138,138,282,282,5,61,No
1,1,170,0,170,170,170,170,282,282,14,65,No
1,1,87,0,87,87,87,87,282,282,1,48,No
1,1,85,0,85,85,85,85,282,282,1,38,No
1,1,178,0,178,178,178,178,282,282,15,61,No
1,1,75,0,75,75,75,75,282,282,0,64,No
1,1,209,0,209,209,209,209,282,282,8,53,No
1,1,57,0,57,57,57,57,282,282,2,43,No
1,1,521,0,521,521,521,521,282,282,16,169,No
1,1,573,0,573,573,573,573,282,282,34,245,No
1,1,148,0,148,148,148,148,282,282,0,43,No
1,1,173,0,173,173,173,173,282,282,8,73,No
1,1,147,0,147,147,147,147,282,282,6,70,No
1,1,763,0,763,763,763,763,282,282,29,424,No
1,1,209,0,209,209,209,209,282,282,21,65,No
1,1,54,0,54,54,54,54,282,282,3,32,No
1,1,38,0,38,38,38,38,282,282,0,28,No
1,1,98,0,98,98,98,98,282,282,4,56,No
1,1,38,0,38,38,38,38,282,282,1,25,No
1,1,94,0,94,94,94,94,282,282,2,55,No
1,1,256,0,256,256,256,256,282,282,20,92,No
1,1,176,0,176,176,176,176,282,282,24,65,No
1,1,232,0,232,232,232,232,282,282,18,45,No
1,1,305,0,305,305,305,305,282,282,21,118,No
1,1,720,0,720,720,720,720,282,282,27,217,No
1,1,400,0,400,400,400,400,282,282,20,215,No
1,1,74,0,74,74,74,74,282,282,4,44,No
1,1,178,0,178,178,178,178,282,282,13,45,No
1,1,163,0,163,163,163,163,282,282,7,88,No
1,1,88,0,88,88,88,88,282,282,4,55,No
1,1,117,0,117,117,117,117,282,282,12,46,No
1,1,60,0,60,60,60,60,282,282,7,29,No
1,1,72,0,72,72,72,72,31,31,6,47,No
1,1,42,0,42,42,42,42,31,31,0,36,No
3,2,48,33,48,56,16,48,161,282,9,123,No
2,2,63,22,63,67,31,63,227,282,10,106,No
2,2,237,22,237,257,118,237,227,282,20,426,No
3,2,133,33,133,139,44,133,161,282,27,138,No
4,2,136,33,136,150,34,136,145,282,58,222,No
3,2,176,33,176,181,58,176,184,282,22,180,No
2,2,46,22,46,47,23,46,227,282,0,46,No
5,3,127,33,127,137,25,127,117,282,57,280,No
3,2,148,33,148,152,49,148,184,282,16,252,No
2,2,58,22,58,59,29,58,227,282,4,76,No
2,2,149,22,149,152,74,149,227,282,12,160,No
2,2,74,22,74,78,37,74,227,282,4,80,No
1,1,37,0,37,37,37,37,282,282,0,27,No
2,2,38,22,38,40,19,38,227,282,0,56,No
2,2,39,22,39,40,19,39,227,282,0,58,No
4,2,95,33,95,107,23,95,145,282,34,220,No
3,2,87,33,87,91,29,87,184,282,13,150,No
4,2,70,33,70,78,17,70,145,282,30,164,No
4,2,113,33,113,123,28,113,145,282,42,244,No
6,3,332,34,326,417,54,329,97,282,112,1279,No
4,2,83,33,83,93,20,83,145,282,34,200,No
3,2,58,33,58,63,19,58,161,282,27,92,No
4,2,122,33,122,130,30,122,145,282,46,260,No
3,2,359,33,359,370,119,359,184,282,64,570,No
1,1,369,0,369,369,369,369,31,31,23,192,No
5,2,229,33,224,243,44,224,117,282,102,584,No
4,2,585,33,585,645,146,585,145,282,126,1173,No
5,2,365,33,365,390,73,365,119,282,142,980,No
4,2,98,33,98,108,24,98,145,282,42,220,No
1,1,41,0,41,41,41,41,282,282,2,25,No
2,2,65,22,65,79,32,65,227,282,12,70,No
3,3,48,33,54,55,18,45,166,282,15,93,No
2,2,47,22,47,51,23,47,227,282,2,82,No
4,3,184,34,183,205,46,185,141,282,24,424,No
1,1,49,0,49,49,49,49,282,282,2,23,No
1,1,50,0,50,50,50,50,282,282,0,26,No
2,2,97,33,97,100,48,97,190,282,11,76,No
1,1,138,0,138,138,138,138,282,282,1,75,No
1,1,43,0,43,43,43,43,282,282,0,25,No
1,1,42,0,42,42,42,42,282,282,0,24,No
1,1,56,0,56,56,56,56,282,282,3,30,No
2,2,51,22,51,52,25,51,227,282,6,72,No
1,1,41,0,41,41,41,41,282,282,3,24,No
2,2,104,22,104,111,52,104,227,282,6,84,No
1,1,54,0,54,54,54,54,282,282,3,27,No
2,2,162,22,162,163,81,162,227,282,4,102,No
2,2,6231,1,6067,12250,3047,6095,89,172,0,3056,No
2,2,153,22,153,155,76,153,227,282,16,128,No
1,1,43,0,43,43,43,43,282,282,4,26,No
2,2,41,22,41,42,20,41,227,282,4,54,No
3,2,104,33,104,155,34,104,184,282,19,133,No
5,3,103,33,104,148,20,103,124,282,68,213,No
4,3,91,33,91,126,22,91,143,282,33,169,No
3,2,100,33,100,151,33,100,184,282,55,123,No
1,1,45,0,45,45,45,45,282,282,3,27,No
2,2,289,22,289,290,144,289,227,282,26,198,No
2,2,31,33,31,35,15,31,190,282,3,44,No
1,1,111,0,111,111,111,111,282,282,7,43,No
2,2,35,22,35,36,17,35,227,282,0,50,No
1,1,81,0,81,81,81,81,282,282,7,35,No
1,1,27,0,27,27,27,27,282,282,0,21,No
1,1,28,0,28,28,28,28,282,282,1,22,No
2,2,29,22,29,30,14,29,227,282,6,42,No
4,3,564,33,565,600,141,561,138,282,113,1107,No
2,2,64,22,64,80,32,64,227,282,18,62,No
2,2,29,22,29,30,14,29,227,282,2,48,No
2,2,64,22,64,65,32,64,227,282,18,64,No
2,2,37,22,37,40,18,37,227,282,4,62,No
2,2,68,22,68,79,34,68,227,282,22,66,No
3,2,153,33,153,165,51,153,184,282,67,198,No
2,2,72,22,72,73,36,72,227,282,24,64,No
6,3,378,33,382,400,63,364,103,282,346,776,No
2,2,76,22,76,78,38,76,227,282,20,78,No
3,2,158,33,158,163,52,158,184,282,70,180,No
3,2,736,33,736,886,245,736,184,282,115,891,No
2,2,74,22,74,76,37,74,227,282,4,73,No
3,2,93,33,93,97,31,93,184,282,16,120,No
1,1,22,0,22,22,22,22,282,282,0,18,No
3,2,426,33,426,439,142,426,184,282,64,432,No
