Dataset,#TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
bookkeeper,1,NaiveBayes,0.9915254237288136,0.5652173913043478,0.821208715370206,0.7131915215564776
bookkeeper,1,RandomForest,0.9945652173913043,0.4420289855072464,0.8500823227841862,0.6040750762729219
bookkeeper,1,IBk,0.9969418960244648,0.5249597423510467,0.8281692245336137,0.6805594613452938
bookkeeper,2,NaiveBayes,0.9274193548387096,0.8303249097472925,0.9076128021959972,0.8707443179398743
bookkeeper,2,RandomForest,0.9484536082474226,0.8303249097472925,0.928659371619706,0.8804908498434567
bookkeeper,2,IBk,0.9086021505376344,0.8134777376654633,0.8933903030947049,0.8521845276953443
bookkeeper,3,NaiveBayes,0.9552715654952076,0.8169398907103825,0.9145699436217303,0.8732354170499423
bookkeeper,3,RandomForest,0.9773828756058158,0.8265027322404371,0.9141960386337472,0.8891382620873254
bookkeeper,3,IBk,0.9699157641395909,0.7340619307832422,0.8223185199460746,0.8260867773628057
bookkeeper,4,NaiveBayes,0.7939914163090128,0.6146179401993356,0.9630582369951971,0.6780584168195284
bookkeeper,4,RandomForest,0.8718929254302104,0.7574750830564784,0.9534288044724754,0.8008978468914424
bookkeeper,4,IBk,0.8703241895261845,0.7729789590254706,0.9111184488171433,0.8093012768384708
bookkeeper,5,NaiveBayes,0.9478260869565217,0.5662337662337662,0.9651156964862548,0.692253646533163
bookkeeper,5,RandomForest,0.9730185497470489,0.7493506493506493,0.912399235282484,0.8363363673365855
bookkeeper,5,IBk,0.9791425260718424,0.7316017316017316,0.8668058686941935,0.8267169565031381
bookkeeper,6,NaiveBayes,0.05956375838926174,0.6068376068376068,0.8246238520729765,0.07805015580075157
bookkeeper,6,RandomForest,0.12406015037593984,0.7051282051282052,0.8856401087825603,0.18590503705102582
bookkeeper,6,IBk,0.16327788046826863,0.7549857549857549,0.8910877012575493,0.24602142835999155
bookkeeper,7,NaiveBayes,0.456490727532097,0.23104693140794225,0.2522244010502133,0.17387667469241744
bookkeeper,7,RandomForest,0.8172661870503597,0.6151624548736462,0.6751352149655399,0.6248039900092893
bookkeeper,7,IBk,0.8355426677713339,0.48543922984356197,0.5838581938518762,0.531693154868683
