Dataset,#TrainingRelease,Classifier,Precision,Recall,AUC,Kappa
storm,1,NaiveBayes,0.0031683168316831685,0.21052631578947367,0.2332243104361393,-0.014197753505090503
storm,1,RandomForest,0.0031683168316831685,0.10526315789473684,0.42565538983439016,-0.013986124742168614
storm,1,IBk,0.0031683168316831685,0.07017543859649122,0.44021911137193903,-0.013780712308644175
storm,2,NaiveBayes,0.03288490284005979,0.23655913978494625,0.3762391282552573,0.011971349335731848
storm,2,RandomForest,0.035555555555555556,0.12903225806451613,0.5034577317843447,0.01500270667388412
storm,2,IBk,0.0824022346368715,0.2114695340501792,0.5342952547253622,0.08380477855633303
storm,3,NaiveBayes,0.9933110367892977,0.8227146814404432,0.9143642943910401,0.8887401799042585
storm,3,RandomForest,0.9966499162479062,0.8240997229916898,0.92179520392578,0.8911975916329289
storm,3,IBk,0.9911111111111112,0.6177285318559557,0.7236737847907332,0.7386777491449618
storm,4,NaiveBayes,0.8894472361809045,0.8634146341463415,0.9682926829268292,0.8673334238646407
storm,4,RandomForest,0.8927680798004988,0.8731707317073171,0.9570511203507185,0.8743985317385863
storm,4,IBk,0.8730703259005146,0.8276422764227642,0.8919528432088886,0.839079052764434
storm,5,NaiveBayes,0.9633507853403142,0.5897435897435898,0.9604389155445493,0.7067694747329946
storm,5,RandomForest,0.9812889812889813,0.7564102564102564,0.8975250541711809,0.8386273486037298
storm,5,IBk,0.9838235294117647,0.7147435897435898,0.841158776017931,0.8101474937201387
storm,6,NaiveBayes,0.32,0.7804878048780488,0.9351383634646947,0.4372498238425199
storm,6,RandomForest,0.33421750663129973,0.7682926829268293,0.922834328206883,0.4498085326584156
storm,6,IBk,0.3022151898734177,0.7764227642276422,0.9044460215971346,0.4175896193585589
storm,7,NaiveBayes,0.6428571428571429,0.20794223826714803,0.2419841647522153,0.2233485297628045
storm,7,RandomForest,0.9126637554585153,0.6036101083032491,0.6806290203478832,0.6622631501030494
storm,7,IBk,0.9189814814814815,0.4777376654632972,0.5853946322430077,0.5559333629577983
storm,8,NaiveBayes,1.0,0.35135135135135137,0.7913227332429229,0.5163765909697278
storm,8,RandomForest,1.0,0.40540540540540543,0.6906014074129444,0.5733768293235445
storm,8,IBk,0.9591836734693877,0.42342342342342343,0.6795667655011788,0.5838272920585184
storm,9,NaiveBayes,NaN,0.0,0.4967388052747986,0.0
storm,9,RandomForest,1.0,0.006134969325153374,0.5014368872999759,0.011457775213287898
storm,9,IBk,1.0,0.0081799591002045,0.50032012563092,0.01524980933928885
storm,10,NaiveBayes,0.9922480620155039,0.5019607843137255,0.9028361908370434,0.64442497155132
storm,10,RandomForest,0.9969230769230769,0.6352941176470588,0.8483863392377885,0.7585492960734262
storm,10,IBk,0.9980806142034548,0.6797385620915033,0.8498010798522307,0.7931017329496254
storm,11,NaiveBayes,1.0,0.33771929824561403,0.8570371876977422,0.4832954575137794
storm,11,RandomForest,1.0,0.5263157894736842,0.8042869634450772,0.6708411438599285
storm,11,IBk,0.9975247524752475,0.5891812865497076,0.8106142784627045,0.7238093407156773
storm,12,NaiveBayes,0.0,0.0,0.4659812681666487,-0.0014278933473501078
storm,12,RandomForest,0.3333333333333333,0.005494505494505495,0.5118621487781246,0.009746116042650164
storm,12,IBk,0.4,0.007326007326007326,0.5186878975499924,0.0132117554447649
storm,13,NaiveBayes,NaN,NaN,NaN,1.0
storm,13,RandomForest,NaN,NaN,NaN,1.0
storm,13,IBk,NaN,NaN,NaN,1.0
