Dataset,# Training,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
storm,1,0.49331696672122205,0.0,0.010228802153432033,RF,No sampling,False,3608.0,0.0,0.0,9.0,1.0,0.9975117500691181,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,IBk,No sampling,False,7216.0,0.0,0.0,18.0,1.0,0.9975117500691181,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,NB,No sampling,False,10753.0,0.0,0.0,98.0,1.0,0.990968574324947,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,RF,Under sampling,False,3015.0,0.0,0.0,602.0,1.0,0.833563726845452,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,IBk,Under sampling,False,6602.0,0.0,0.0,632.0,1.0,0.9126347802045894,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,NB,Under sampling,False,9508.0,0.0,0.0,1343.0,1.0,0.876232605289835,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,RF,Over sampling,False,3578.0,0.0,0.0,39.0,1.0,0.989217583632845,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,IBk,Over sampling,False,7183.0,0.0,0.0,51.0,1.0,0.9929499585291678,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,NB,Over sampling,False,10232.0,0.0,0.0,619.0,1.0,0.9429545663994102,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,RF,Smote,False,3576.0,0.0,0.0,41.0,1.0,0.98866463920376,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,IBk,Smote,False,7184.0,0.0,0.0,50.0,1.0,0.993088194636439,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,NB,Smote,False,10690.0,0.0,0.0,161.0,1.0,0.9851626578195558,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,RF,No sampling,True,3511.0,0.0,0.0,106.0,1.0,0.9706939452585015,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,IBk,No sampling,True,7023.0,0.0,0.0,211.0,1.0,0.9708321813657728,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,NB,No sampling,True,10640.0,0.0,0.0,211.0,1.0,0.9805547875771818,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,RF,Under sampling,True,3491.0,0.0,0.0,126.0,1.0,0.9651645009676527,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,IBk,Under sampling,True,6983.0,0.0,0.0,251.0,1.0,0.965302737074924,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,NB,Under sampling,True,10167.0,0.0,0.0,684.0,1.0,0.936964335084324,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,RF,Over sampling,True,3508.0,0.0,0.0,109.0,1.0,0.9698645286148742,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,IBk,Over sampling,True,7017.0,0.0,0.0,217.0,1.0,0.9700027647221454,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,NB,Over sampling,True,10617.0,0.0,0.0,234.0,1.0,0.9784351672656898,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,RF,Smote,True,3511.0,0.0,0.0,106.0,1.0,0.9706939452585015,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,IBk,Smote,True,7023.0,0.0,0.0,211.0,1.0,0.9708321813657728,NaN,0.0
storm,1,0.49331696672122205,0.0,0.010228802153432033,NB,Smote,True,10640.0,0.0,0.0,211.0,1.0,0.9805547875771818,NaN,0.0
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,RF,No sampling,False,6808.0,32.0,6.0,486.0,0.9953216374269006,0.9333698930627914,0.7621855743004344,0.013145668726654193
storm,2,0.6753246753246753,0.005182760501909438,0.026382978723404255,IBk,No sampling,False,13150.0,56.0,20.0,1438.0,0.9957595032560957,0.9014258294488621,0.7730421002121426,0.01638506960906818
