Version Number,File Name,NumberRevisions,NumberAuthors,LOC,AGE,CHURN,MaxLocAdded,Avg_Chg_Set,Max_Chg_Set,Avg_LOC_Added,Buggy
11,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/bolt/SequenceFileTopology.java,1,115,83,0,94,94,22,22,94,No
11,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/trident/TridentFileTopology.java,1,115,83,0,94,94,22,22,94,No
11,external/storm-hdfs/src/test/java/org/apache/storm/hdfs/trident/TridentSequenceTopology.java,1,115,83,0,94,94,22,22,94,No
25,examples/storm-starter/src/jvm/org/apache/storm/starter/MultiThreadWordCountTopology.java,1,115,83,0,94,94,22,22,94,No
25,examples/storm-starter/src/jvm/org/apache/storm/starter/WordCountTopology.java,1,115,83,0,94,94,22,22,94,No
25,examples/storm-starter/src/jvm/org/apache/storm/starter/bolt/WordCountBolt.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/Config.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/daemon/worker/Worker.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/daemon/worker/WorkerState.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/daemon/worker/WorkerTransfer.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/drpc/DRPCSpout.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/executor/Executor.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/executor/ExecutorShutdown.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/executor/ExecutorTransfer.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/executor/bolt/BoltExecutor.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/executor/spout/SpoutExecutor.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/grouping/LoadAwareShuffleGrouping.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/messaging/IContext.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/messaging/netty/MessageDecoder.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/messaging/netty/Server.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/metrics2/StormMetricRegistry.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/security/auth/ShellBasedGroupsMapping.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/security/auth/authorizer/DRPCSimpleACLAuthorizer.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/security/auth/authorizer/SimpleACLAuthorizer.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/security/auth/authorizer/SupervisorSimpleACLAuthorizer.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/security/auth/kerberos/AutoTGT.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/serialization/SerializationFactory.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/task/IMetricsContext.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/task/TopologyContext.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/task/WorkerTopologyContext.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/trident/operation/TridentOperationContext.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/utils/ObjectReader.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/utils/ShellUtils.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/src/jvm/org/apache/storm/utils/Utils.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/test/jvm/org/apache/storm/executor/ExecutorTransferMultiThreadingTest.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/test/jvm/org/apache/storm/grouping/LoadAwareShuffleGroupingTest.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/test/jvm/org/apache/storm/security/auth/authorizer/DRPCSimpleACLAuthorizerTest.java,1,115,83,0,94,94,22,22,94,No
25,storm-client/test/jvm/org/apache/storm/utils/UtilsTest.java,1,115,83,0,94,94,22,22,94,No
25,storm-core/test/jvm/org/apache/storm/stats/TestStatsUtil.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/DaemonConfig.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/daemon/nimbus/Nimbus.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/daemon/supervisor/BasicContainer.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/daemon/supervisor/Container.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/localizer/AsyncLocalizer.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/scheduler/DefaultScheduler.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/scheduler/EvenScheduler.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/scheduler/IsolationScheduler.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/scheduler/multitenant/MultitenantScheduler.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/scheduler/resource/ResourceAwareScheduler.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/scheduler/utils/ArtifactoryConfigLoader.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/scheduler/utils/SchedulerConfigCache.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/stats/StatsUtil.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/main/java/org/apache/storm/utils/ServerConfigUtils.java,1,115,83,0,94,94,22,22,94,No
25,storm-server/src/test/java/org/apache/storm/daemon/supervisor/ContainerTest.java,1,115,83,0,94,94,22,22,94,No
25,storm-webapp/src/main/java/org/apache/storm/daemon/logviewer/handler/LogviewerLogPageHandler.java,1,115,83,0,94,94,22,22,94,No
25,storm-webapp/src/main/java/org/apache/storm/daemon/logviewer/utils/ResourceAuthorizer.java,1,115,83,0,94,94,22,22,94,No
25,storm-webapp/src/main/java/org/apache/storm/daemon/ui/UIHelpers.java,1,115,83,0,94,94,22,22,94,No
25,storm-webapp/src/test/java/org/apache/storm/daemon/ui/UIHelpersTest.java,1,115,83,0,94,94,22,22,94,No
6,storm-core/src/jvm/backtype/storm/Config.java,1,115,83,0,94,94,22,22,94,No
6,storm-core/src/jvm/backtype/storm/LogWriter.java,1,115,83,0,94,94,22,22,94,No
