
Dataset,# Training,TrainingSet Size,TestSet Size,% Training,% Defect Training,%Defect Testing,Classifier,Balancing,FeatureSelection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa,Accuracy
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,RF,No sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,IBk,No sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,1.0,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,NB,No sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.0,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,Cost Sensitive,No sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,RF,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,IBk,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,1.0,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,NB,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.0,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,Cost Sensitive,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,RF,Over sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,IBk,Over sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,1.0,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,NB,Over sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.0,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,Cost Sensitive,Over sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.9996092223524814
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,RF,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,IBk,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,NB,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,1,2559,2559,0.5,0.0,3.9077764751856197E-4,Cost Sensitive,Smote,False,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,NaN
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,RF,No sampling,False,0.023255813953488372,0.0,1.0,0.9767441860465116,1.0,0.023255813953488372,0.8255813953488372,0.04472491334103797,0.9835873388042204
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,IBk,No sampling,False,0.023255813953488372,0.0,1.0,0.9767441860465116,1.0,0.023255813953488372,1.0,0.04472491334103797,0.9835873388042204
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,NB,No sampling,False,0.16279069767441862,0.0,1.0,0.8372093023255814,1.0,0.16279069767441862,1.0,0.276596412978608,0.9859320046893317
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,Cost Sensitive,No sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.9831965611567018
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,RF,Under sampling,False,0.18604651162790697,0.0,1.0,0.813953488372093,1.0,0.18604651162790697,1.0,0.3100885064820019,0.9863227823368503
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,IBk,Under sampling,False,0.6744186046511628,0.0,1.0,0.32558139534883723,1.0,0.6744186046511628,0.8372093023255814,0.8028874192589978,0.9945291129347401
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,NB,Under sampling,False,0.5813953488372093,0.0,1.0,0.4186046511627907,1.0,0.5813953488372093,1.0,0.731982637232199,0.9929660023446659
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,Cost Sensitive,Under sampling,False,0.0,0.0,1.0,1.0,NaN,0.0,0.5,0.0,0.9831965611567018
storm,2,5118,2559,0.6666666666666666,1.9538882375928098E-4,0.016803438843298164,RF,Over sampling,False,0.023255813953488372,0.0,1.0,0.9767441860465116,1.0,0.023255813953488372,0.8488372093023255,0.04472491334103797,0.9835873388042204
