@relation storm

@attribute NumberRevisions real
@attribute NumberAuthors real
@attribute LOC real
@attribute AGE real
@attribute CHURN real
@attribute LOC_TOUCHED real
@attribute AvgLocAdded real
@attribute MaxLocAdded real
@attribute AvgChgSet real
@attribute MaxChgSet real
@attribute numImports real
@attribute numComments real
@attribute Buggy {Yes, No}

@data
1,1,799,79,5,5,5,5,13,13,7,421,No
1,1,130,53,6,6,6,6,2,2,10,17,No
1,1,154,15,0,1,0,0,1,1,19,0,No
1,1,10,0,10,10,10,10,13,13,1,0,No
1,1,11,0,11,11,11,11,13,13,1,0,No
1,1,5,0,5,5,5,5,13,13,0,0,No
1,1,19,0,19,19,19,19,13,13,0,0,No
1,1,32,0,32,32,32,32,13,13,4,5,No
4,1,24,13,0,4,0,0,2,2,4,0,No
4,1,28,11,0,4,0,0,2,2,12,0,No
1,1,223,79,2,2,2,2,2,2,17,32,No
5,1,47,59,0,5,0,0,1,1,25,0,No
1,1,130,56,16,20,18,18,2,2,13,2,No
3,2,364,85,10,27,3,11,2,3,96,21,No
1,1,144,4,0,8,0,0,3,3,15,5,No
1,1,156,4,0,1,0,0,3,3,17,2,No
1,1,20,0,2,2,2,2,2,2,2,0,No
1,1,49,1,-1,3,0,0,1,1,3,0,No
1,1,149,2,149,149,149,149,1,1,6,3,No
1,1,130,40,3,12,3,3,2,2,6,5,No
2,1,197,3,0,6,0,0,1,1,34,160,No
2,2,952,29,18,18,9,12,3,4,16,904,No
1,1,55,1,55,55,55,55,3,3,8,13,No
3,2,5,8,15,15,5,5,5,5,0,0,No
3,2,14,8,42,42,14,14,5,5,0,0,No
1,1,228,29,5,5,5,5,2,2,18,32,No
3,2,165,22,66,69,22,22,5,5,51,36,No
1,1,58,14,0,8,0,0,2,2,1,0,No
1,1,80,12,5,19,5,5,1,1,9,0,No
4,2,205,25,-1,70,0,2,2,4,72,152,No
1,1,120,22,0,7,0,0,4,4,16,23,No
1,1,142,41,10,12,10,10,1,1,17,20,Yes
1,1,81,2,1,3,2,2,18,18,2,17,No
1,1,25,2,0,1,0,0,18,18,1,17,No
1,1,147,2,2,7,3,3,18,18,13,34,No
1,1,52,2,2,2,2,2,18,18,3,19,No
1,1,195,2,0,13,0,0,18,18,11,22,No
1,1,243,2,2,13,3,3,18,18,24,18,No
1,1,37,2,1,1,1,1,18,18,3,17,No
1,1,28,2,2,2,2,2,18,18,1,17,No
3,2,265,9,-12,113,5,16,6,18,51,69,No
1,1,51,2,3,3,3,3,18,18,4,17,No
1,1,46,2,0,1,0,0,18,18,5,17,No
1,1,113,2,0,2,0,0,18,18,5,19,No
1,1,36,2,0,1,0,0,18,18,0,18,No
1,1,116,2,0,1,0,0,18,18,13,17,No
1,1,98,2,-1,3,1,1,18,18,5,18,No
1,1,58,2,0,1,0,0,18,18,6,17,No
1,1,268,2,-1,1,0,0,18,18,24,43,No
1,1,70,2,0,33,0,0,18,18,5,18,No
3,3,70,3,38,64,14,20,2,3,31,12,No
2,2,225,3,0,12,0,0,3,3,40,0,No
2,2,130,3,0,2,0,0,3,3,28,4,No
9,3,987,59,44,111,8,19,22,49,72,4321,No
1,1,155,40,17,17,17,17,10,10,1,57,No
5,3,49,59,34,58,8,10,35,49,5,170,No
14,4,337,25,57,1060,9,28,13,49,279,682,No
7,3,112,25,120,197,19,24,25,49,91,217,No
4,2,69,25,8,16,2,2,43,49,16,112,No
4,2,136,25,20,20,5,5,43,49,20,188,No
5,3,115,25,-59,361,4,5,35,49,35,215,No
6,3,37,5,175,176,29,35,33,49,24,23,No
8,3,246,25,265,525,34,67,23,49,176,337,No
5,3,41,2,205,205,41,41,35,49,20,90,No
5,3,44,25,0,5,0,0,35,49,15,105,No
5,3,66,25,4,73,0,1,35,49,50,85,No
1,1,248,46,3,3,3,3,1,1,18,49,Yes
7,3,129,0,663,727,95,139,25,49,89,119,No
5,3,76,0,380,380,76,76,35,49,65,85,No
7,3,201,60,45,99,7,31,25,49,119,209,No
1,1,109,48,0,12,0,0,1,1,6,19,No
7,3,113,4,565,567,80,113,25,49,35,119,No
6,3,447,59,-10,166,1,2,30,49,225,144,No
1,1,142,54,10,12,10,10,1,1,17,20,No
2,2,153,0,153,155,77,154,2,3,16,45,No
1,1,78,22,78,78,78,78,237,237,11,24,No
1,1,87,22,87,87,87,87,237,237,14,20,No
1,1,68,22,68,68,68,68,237,237,12,17,No
3,3,58,25,58,62,19,58,89,237,21,51,No
1,1,196,22,196,196,196,196,237,237,15,34,No
1,1,132,22,132,132,132,132,237,237,9,52,No
1,1,64,22,64,64,64,64,237,237,8,17,No
1,1,173,22,173,173,173,173,237,237,19,22,No
1,1,246,22,246,246,246,246,237,237,20,27,No
